run_name,kernel_type,seed,n_qubits,n_layers,entanglement,n_train,n_test,svm_c,rbf_gamma,train_kernel,initial_theta,maxiter,learning_rate,perturbation,n_trainable_params,train_time_sec,kernel_eval_time_sec,test_accuracy,optimal_value,optimizer_evals
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=1p0_seed=44,quantum_chebyshev,44,4,1,linear,200,100,1.0,,False,random,20,0.05,0.05,7,0.0,150.1025543229989,0.99,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=4_C=0p01_seed=42,quantum_chebyshev,42,4,2,linear,200,100,0.01,,False,random,20,0.05,0.05,14,0.0,273.04003197899874,0.83,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=4_C=100p0_seed=43,quantum_chebyshev,43,4,2,linear,200,100,100.0,,False,random,20,0.05,0.05,14,0.0,234.4188945440037,0.97,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=10p0_seed=44,quantum_chebyshev,44,2,2,linear,200,100,10.0,,False,random,20,0.05,0.05,6,0.0,103.52670647299965,0.99,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=100p0_seed=44,quantum_chebyshev,44,2,1,linear,200,100,100.0,,False,random,20,0.05,0.05,3,0.0,65.55515312100033,0.98,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=6_C=1p0_seed=43,quantum_chebyshev,43,6,1,linear,200,100,1.0,,False,random,20,0.05,0.05,11,0.0,311.7034958439981,0.94,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=10p0_seed=44,quantum_chebyshev,44,4,1,linear,200,100,10.0,,False,random,20,0.05,0.05,7,0.0,151.283474828997,0.99,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=6_C=0p01_seed=43,quantum_chebyshev,43,6,1,linear,200,100,0.01,,False,random,20,0.05,0.05,11,0.0,317.30604460900213,0.95,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=6_C=10p0_seed=43,quantum_chebyshev,43,6,1,linear,200,100,10.0,,False,random,20,0.05,0.05,11,0.0,320.85541248400114,0.94,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=0p01_seed=45,quantum_chebyshev,45,2,1,linear,200,100,0.01,,False,random,20,0.05,0.05,3,0.0,65.57623908000096,0.97,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=6_C=0p1_seed=43,quantum_chebyshev,43,6,1,linear,200,100,0.1,,False,random,20,0.05,0.05,11,0.0,322.5254510330051,0.94,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=6_C=100p0_seed=42,quantum_chebyshev,42,6,1,linear,200,100,100.0,,False,random,20,0.05,0.05,11,0.0,333.08182644099725,0.87,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=6_C=10p0_seed=42,quantum_chebyshev,42,6,1,linear,200,100,10.0,,False,random,20,0.05,0.05,11,0.0,333.78269448899664,0.91,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=100p0_seed=44,quantum_chebyshev,44,2,2,linear,200,100,100.0,,False,random,20,0.05,0.05,6,0.0,103.37191490999976,0.99,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=6_C=0p1_seed=42,quantum_chebyshev,42,6,1,linear,200,100,0.1,,False,random,20,0.05,0.05,11,0.0,350.859885676,0.77,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=6_C=1p0_seed=42,quantum_chebyshev,42,6,1,linear,200,100,1.0,,False,random,20,0.05,0.05,11,0.0,353.9669758070013,0.9,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=4_C=0p01_seed=44,quantum_chebyshev,44,4,2,linear,200,100,0.01,,False,random,20,0.05,0.05,14,0.0,265.64355576899834,0.96,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=6_C=0p01_seed=42,quantum_chebyshev,42,6,1,linear,200,100,0.01,,False,random,20,0.05,0.05,11,0.0,357.8136029660018,0.76,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=6_C=100p0_seed=43,quantum_chebyshev,43,6,1,linear,200,100,100.0,,False,random,20,0.05,0.05,11,0.0,315.3813381439977,0.93,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=4_C=0p1_seed=44,quantum_chebyshev,44,4,2,linear,200,100,0.1,,False,random,20,0.05,0.05,14,0.0,241.1745619009962,0.97,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=0p1_seed=45,quantum_chebyshev,45,2,1,linear,200,100,0.1,,False,random,20,0.05,0.05,3,0.0,66.43920031900052,0.97,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=100p0_seed=44,quantum_chebyshev,44,4,1,linear,200,100,100.0,,False,random,20,0.05,0.05,7,0.0,151.76077849799913,0.98,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=4_C=1p0_seed=44,quantum_chebyshev,44,4,2,linear,200,100,1.0,,False,random,20,0.05,0.05,14,0.0,232.0299979689953,0.99,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=6_C=0p01_seed=44,quantum_chebyshev,44,6,1,linear,200,100,0.01,,False,random,20,0.05,0.05,11,0.0,322.623167918995,0.82,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=1p0_seed=45,quantum_chebyshev,45,2,1,linear,200,100,1.0,,False,random,20,0.05,0.05,3,0.0,68.47566301999905,0.97,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=0p01_seed=45,quantum_chebyshev,45,2,2,linear,200,100,0.01,,False,random,20,0.05,0.05,6,0.0,126.57313537900336,0.81,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=0p01_seed=45,quantum_chebyshev,45,4,1,linear,200,100,0.01,,False,random,20,0.05,0.05,7,0.0,147.57684414499818,0.97,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=4_C=10p0_seed=44,quantum_chebyshev,44,4,2,linear,200,100,10.0,,False,random,20,0.05,0.05,14,0.0,233.166154120001,0.97,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=2_C=0p1_seed=45,quantum_chebyshev,45,2,2,linear,200,100,0.1,,False,random,20,0.05,0.05,6,0.0,102.44981697299954,0.88,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=6_C=0p1_seed=44,quantum_chebyshev,44,6,1,linear,200,100,0.1,,False,random,20,0.05,0.05,11,0.0,323.0172458599991,0.87,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=2_C=10p0_seed=45,quantum_chebyshev,45,2,1,linear,200,100,10.0,,False,random,20,0.05,0.05,3,0.0,65.71221813099692,0.98,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=6_C=100p0_seed=42,quantum_chebyshev,42,6,2,linear,200,100,100.0,,False,random,20,0.05,0.05,22,0.0,461.7282099590011,0.83,nan,nan
kernel=quantum_chebyshev_layers=1_traink=false_qubits=4_C=0p1_seed=45,quantum_chebyshev,45,4,1,linear,200,100,0.1,,False,random,20,0.05,0.05,7,0.0,147.23849241300195,0.97,nan,nan
kernel=quantum_chebyshev_layers=2_traink=false_qubits=6_C=10p0_seed=43,quantum_chebyshev,43,6,2,linear,200,100,10.0,,False,random,20,0.05,0.05,22,0.0,468.439994473003,0.98,nan,nan
